facility_code,unit_code,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,emissions_factor_co2,data_first_seen,data_last_seen,dispatch_type,commencement_date,commencement_date_specificity,commencement_date_display,closure_date,closure_date_specificity,closure_date_display,expected_operation_date,expected_operation_date_specificity,expected_operation_date_display,expected_closure_date,expected_closure_date_specificity,expected_closure_date_display,construction_start_date,construction_start_date_specificity,construction_start_date_display,project_approval_date,project_approval_date_specificity,project_approval_date_display,project_lodgement_date,created_at,updated_at
TALWB,TALWB1,gas_ocgt,operating,320.0,320.0,NA,0.7831,2024-01-24 09:15:00+10:00,2025-10-28 19:50:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-06 05:19:51+00:00,2025-01-07 03:57:49+00:00
TVCCPS,TVCC201,gas_ccgt,operating,208.6,208.0,NA,0.6117,2009-06-27 15:25:00+10:00,2025-08-27 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:26+00:00,2025-10-13 06:37:46+00:00
TARALGA,TARALGA1,wind,operating,106.8,106.0,NA,NA,2014-12-22 17:35:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-05-13 04:46:16+00:00
0TARONGBESS,TARBESSL1,battery_charging,operating,393.0,300.0,600.0,NA,2025-07-10 12:20:00+10:00,2025-10-29 12:05:00+10:00,LOAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-07 01:23:33+00:00,2025-07-21 23:30:06+00:00
0TARONGBESS,TARBESSG1,battery_discharging,operating,393.0,300.0,600.0,NA,2025-06-12 09:00:00+10:00,2025-10-29 12:10:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-07 01:26:05+00:00,2025-07-21 23:30:25+00:00
0TARONGBESS,TARBESS1,battery,operating,393.0,300.0,600.0,NA,2025-06-12 09:00:00+10:00,2025-10-29 12:10:00+10:00,BIDIRECTIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-12-02 02:31:41+00:00,2025-07-21 23:29:46+00:00
TARONG,TARONG#1,coal_black,operating,350.0,385.0,NA,0.8837,1998-12-07 02:50:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-10-13 03:23:47+00:00
TARONG,TARONG#2,coal_black,operating,350.0,385.0,NA,0.8837,1998-12-07 02:50:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-10-13 03:25:17+00:00
TARONG,TARONG#3,coal_black,operating,350.0,385.0,NA,0.8837,1998-12-07 02:50:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-10-13 03:24:59+00:00
TARONG,TARONG#4,coal_black,operating,350.0,385.0,NA,0.8837,1998-12-07 02:50:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-10-13 03:25:39+00:00
