network_code,metric,timestamp,value
NEM,price,2025-10-01 23:45:00+10:00,28.866
NEM,price,2025-10-01 23:50:00+10:00,29.632
NEM,price,2025-10-01 23:55:00+10:00,30.566
NEM,demand,2025-10-01 00:00:00+10:00,20451.93
NEM,demand,2025-10-01 00:05:00+10:00,20443.37
NEM,demand,2025-10-01 00:10:00+10:00,20391.13
NEM,demand,2025-10-01 00:15:00+10:00,20348.11
NEM,demand,2025-10-01 00:20:00+10:00,20213.93
NEM,demand,2025-10-01 00:25:00+10:00,20116.28
NEM,demand,2025-10-01 00:30:00+10:00,20000.71
NEM,demand,2025-10-01 00:35:00+10:00,19904.92
NEM,demand,2025-10-01 00:40:00+10:00,19914.37
NEM,demand,2025-10-01 00:45:00+10:00,19851.06
NEM,demand,2025-10-01 00:50:00+10:00,19857.85
NEM,demand,2025-10-01 00:55:00+10:00,19726.98
NEM,demand,2025-10-01 01:00:00+10:00,19661.33
NEM,demand,2025-10-01 01:05:00+10:00,19614.56
NEM,demand,2025-10-01 01:10:00+10:00,19523.02
NEM,demand,2025-10-01 01:15:00+10:00,19392.47
NEM,demand,2025-10-01 01:20:00+10:00,19315.81
NEM,demand,2025-10-01 01:25:00+10:00,19209.86
NEM,demand,2025-10-01 01:30:00+10:00,19153.03
NEM,demand,2025-10-01 01:35:00+10:00,19027.35
NEM,demand,2025-10-01 01:40:00+10:00,19134.82
NEM,demand,2025-10-01 01:45:00+10:00,18993.42
NEM,demand,2025-10-01 01:50:00+10:00,18948.46
NEM,demand,2025-10-01 01:55:00+10:00,18900.63
NEM,demand,2025-10-01 02:00:00+10:00,18797.1
NEM,demand,2025-10-01 02:05:00+10:00,18763.9
NEM,demand,2025-10-01 02:10:00+10:00,18732.84
NEM,demand,2025-10-01 02:15:00+10:00,18779.52
NEM,demand,2025-10-01 02:20:00+10:00,18628.98
NEM,demand,2025-10-01 02:25:00+10:00,18619.52
NEM,demand,2025-10-01 02:30:00+10:00,18530.43
NEM,demand,2025-10-01 02:35:00+10:00,18495.32
NEM,demand,2025-10-01 02:40:00+10:00,18502.93
NEM,demand,2025-10-01 02:45:00+10:00,18410.27
NEM,demand,2025-10-01 02:50:00+10:00,18379.89
NEM,demand,2025-10-01 02:55:00+10:00,18318.89
NEM,demand,2025-10-01 03:00:00+10:00,18304.93
NEM,demand,2025-10-01 03:05:00+10:00,18138.4
NEM,demand,2025-10-01 03:10:00+10:00,18259.6
NEM,demand,2025-10-01 03:15:00+10:00,18161.56
NEM,demand,2025-10-01 03:20:00+10:00,18200.95
NEM,demand,2025-10-01 03:25:00+10:00,18095.69
NEM,demand,2025-10-01 03:30:00+10:00,18206.5
NEM,demand,2025-10-01 03:35:00+10:00,18131.35
NEM,demand,2025-10-01 03:40:00+10:00,18155.36
NEM,demand,2025-10-01 03:45:00+10:00,18168.97
NEM,demand,2025-10-01 03:50:00+10:00,18147.13
NEM,demand,2025-10-01 03:55:00+10:00,18056.81
NEM,demand,2025-10-01 04:00:00+10:00,18048.11
NEM,demand,2025-10-01 04:05:00+10:00,18117.48
NEM,demand,2025-10-01 04:10:00+10:00,18158.39
NEM,demand,2025-10-01 04:15:00+10:00,18213.58
NEM,demand,2025-10-01 04:20:00+10:00,18143.27
NEM,demand,2025-10-01 04:25:00+10:00,18186.24
NEM,demand,2025-10-01 04:30:00+10:00,18156.08
NEM,demand,2025-10-01 04:35:00+10:00,18222.4
NEM,demand,2025-10-01 04:40:00+10:00,18280.93
NEM,demand,2025-10-01 04:45:00+10:00,18347.73
NEM,demand,2025-10-01 04:50:00+10:00,18388.11
NEM,demand,2025-10-01 04:55:00+10:00,18475.35
NEM,demand,2025-10-01 05:00:00+10:00,18540.51
NEM,demand,2025-10-01 05:05:00+10:00,18594.54
NEM,demand,2025-10-01 05:10:00+10:00,18820.37
NEM,demand,2025-10-01 05:15:00+10:00,18941.02
NEM,demand,2025-10-01 05:20:00+10:00,18991.98
NEM,demand,2025-10-01 05:25:00+10:00,19022.38
NEM,demand,2025-10-01 05:30:00+10:00,19070.17
NEM,demand,2025-10-01 05:35:00+10:00,19236.84
NEM,demand,2025-10-01 05:40:00+10:00,19372.84
NEM,demand,2025-10-01 05:45:00+10:00,19355.59
NEM,demand,2025-10-01 05:50:00+10:00,19530.56
NEM,demand,2025-10-01 05:55:00+10:00,19563.72
NEM,demand,2025-10-01 06:00:00+10:00,19648.48
NEM,demand,2025-10-01 06:05:00+10:00,19668.19
NEM,demand,2025-10-01 06:10:00+10:00,20053.39
NEM,demand,2025-10-01 06:15:00+10:00,20056.29
NEM,demand,2025-10-01 06:20:00+10:00,20305.63
NEM,demand,2025-10-01 06:25:00+10:00,20202.69
NEM,demand,2025-10-01 06:30:00+10:00,20393.25
NEM,demand,2025-10-01 06:35:00+10:00,20316.13
NEM,demand,2025-10-01 06:40:00+10:00,20501.86
NEM,demand,2025-10-01 06:45:00+10:00,20391.87
NEM,demand,2025-10-01 06:50:00+10:00,20413.82
NEM,demand,2025-10-01 06:55:00+10:00,20307.86
NEM,demand,2025-10-01 07:00:00+10:00,20375.3
NEM,demand,2025-10-01 07:05:00+10:00,20231.35
NEM,demand,2025-10-01 07:10:00+10:00,20263.72
NEM,demand,2025-10-01 07:15:00+10:00,20262.98
NEM,demand,2025-10-01 07:20:00+10:00,20197.38
NEM,demand,2025-10-01 07:25:00+10:00,20172.47
NEM,demand,2025-10-01 07:30:00+10:00,20076.38
NEM,demand,2025-10-01 07:35:00+10:00,19840.44
NEM,demand,2025-10-01 07:40:00+10:00,19753.46
NEM,demand,2025-10-01 07:45:00+10:00,19583.26
NEM,demand,2025-10-01 07:50:00+10:00,19536.61
NEM,demand,2025-10-01 07:55:00+10:00,19401.55
NEM,demand,2025-10-01 08:00:00+10:00,19311.96
NEM,demand,2025-10-01 08:05:00+10:00,19114.38
NEM,demand,2025-10-01 08:10:00+10:00,19179.43
NEM,demand,2025-10-01 08:15:00+10:00,19148.99
NEM,demand,2025-10-01 08:20:00+10:00,19098.3
NEM,demand,2025-10-01 08:25:00+10:00,18922.64
NEM,demand,2025-10-01 08:30:00+10:00,18568.78
NEM,demand,2025-10-01 08:35:00+10:00,18240.35
NEM,demand,2025-10-01 08:40:00+10:00,18199.61
NEM,demand,2025-10-01 08:45:00+10:00,17870.0
NEM,demand,2025-10-01 08:50:00+10:00,17701.84
NEM,demand,2025-10-01 08:55:00+10:00,17471.0
NEM,demand,2025-10-01 09:00:00+10:00,17413.59
NEM,demand,2025-10-01 09:05:00+10:00,17398.35
NEM,demand,2025-10-01 09:10:00+10:00,17378.03
NEM,demand,2025-10-01 09:15:00+10:00,17017.3
NEM,demand,2025-10-01 09:20:00+10:00,17021.57
NEM,demand,2025-10-01 09:25:00+10:00,16946.41
NEM,demand,2025-10-01 09:30:00+10:00,16906.47
NEM,demand,2025-10-01 09:35:00+10:00,16865.54
NEM,demand,2025-10-01 09:40:00+10:00,16757.67
NEM,demand,2025-10-01 09:45:00+10:00,17009.31
NEM,demand,2025-10-01 09:50:00+10:00,16872.88
NEM,demand,2025-10-01 09:55:00+10:00,16555.72
NEM,demand,2025-10-01 10:00:00+10:00,16500.25
NEM,demand,2025-10-01 10:05:00+10:00,16477.45
NEM,demand,2025-10-01 10:10:00+10:00,16569.61
NEM,demand,2025-10-01 10:15:00+10:00,16295.06
NEM,demand,2025-10-01 10:20:00+10:00,16273.67
NEM,demand,2025-10-01 10:25:00+10:00,16131.42
NEM,demand,2025-10-01 10:30:00+10:00,16261.75
NEM,demand,2025-10-01 10:35:00+10:00,16361.2
NEM,demand,2025-10-01 10:40:00+10:00,16238.98
NEM,demand,2025-10-01 10:45:00+10:00,16125.39
NEM,demand,2025-10-01 10:50:00+10:00,16082.85
NEM,demand,2025-10-01 10:55:00+10:00,15920.63
NEM,demand,2025-10-01 11:00:00+10:00,15850.66
NEM,demand,2025-10-01 11:05:00+10:00,16000.34
NEM,demand,2025-10-01 11:10:00+10:00,15956.32
NEM,demand,2025-10-01 11:15:00+10:00,15860.65
NEM,demand,2025-10-01 11:20:00+10:00,15770.34
NEM,demand,2025-10-01 11:25:00+10:00,15834.16
NEM,demand,2025-10-01 11:30:00+10:00,15548.38
NEM,demand,2025-10-01 11:35:00+10:00,15585.75
NEM,demand,2025-10-01 11:40:00+10:00,15908.28
NEM,demand,2025-10-01 11:45:00+10:00,15937.38
NEM,demand,2025-10-01 11:50:00+10:00,15874.31
NEM,demand,2025-10-01 11:55:00+10:00,16017.49
NEM,demand,2025-10-01 12:00:00+10:00,16010.73
NEM,demand,2025-10-01 12:05:00+10:00,15881.43
NEM,demand,2025-10-01 12:10:00+10:00,15966.11
NEM,demand,2025-10-01 12:15:00+10:00,15815.21
NEM,demand,2025-10-01 12:20:00+10:00,15814.28
NEM,demand,2025-10-01 12:25:00+10:00,15536.15
NEM,demand,2025-10-01 12:30:00+10:00,15401.31
NEM,demand,2025-10-01 12:35:00+10:00,15122.44
NEM,demand,2025-10-01 12:40:00+10:00,15514.49
NEM,demand,2025-10-01 12:45:00+10:00,15403.75
NEM,demand,2025-10-01 12:50:00+10:00,15452.04
NEM,demand,2025-10-01 12:55:00+10:00,15444.79
NEM,demand,2025-10-01 13:00:00+10:00,15563.89
NEM,demand,2025-10-01 13:05:00+10:00,15624.87
NEM,demand,2025-10-01 13:10:00+10:00,15800.9
NEM,demand,2025-10-01 13:15:00+10:00,15926.01
NEM,demand,2025-10-01 13:20:00+10:00,16035.05
NEM,demand,2025-10-01 13:25:00+10:00,16136.11
NEM,demand,2025-10-01 13:30:00+10:00,16274.56
NEM,demand,2025-10-01 13:35:00+10:00,16585.56
NEM,demand,2025-10-01 13:40:00+10:00,16668.7
NEM,demand,2025-10-01 13:45:00+10:00,16445.13
NEM,demand,2025-10-01 13:50:00+10:00,16537.98
NEM,demand,2025-10-01 13:55:00+10:00,16540.14
NEM,demand,2025-10-01 14:00:00+10:00,16540.82
NEM,demand,2025-10-01 14:05:00+10:00,16731.61
NEM,demand,2025-10-01 14:10:00+10:00,16637.56
NEM,demand,2025-10-01 14:15:00+10:00,16649.49
NEM,demand,2025-10-01 14:20:00+10:00,16638.88
NEM,demand,2025-10-01 14:25:00+10:00,16930.65
NEM,demand,2025-10-01 14:30:00+10:00,16931.8
NEM,demand,2025-10-01 14:35:00+10:00,17335.57
NEM,demand,2025-10-01 14:40:00+10:00,17463.08
NEM,demand,2025-10-01 14:45:00+10:00,17721.9
NEM,demand,2025-10-01 14:50:00+10:00,17825.15
NEM,demand,2025-10-01 14:55:00+10:00,18245.98
NEM,demand,2025-10-01 15:00:00+10:00,18329.05
NEM,demand,2025-10-01 15:05:00+10:00,18338.29
NEM,demand,2025-10-01 15:10:00+10:00,18471.24
NEM,demand,2025-10-01 15:15:00+10:00,18700.66
NEM,demand,2025-10-01 15:20:00+10:00,18630.8
NEM,demand,2025-10-01 15:25:00+10:00,18929.06
NEM,demand,2025-10-01 15:30:00+10:00,19202.67
NEM,demand,2025-10-01 15:35:00+10:00,19469.9
NEM,demand,2025-10-01 15:40:00+10:00,19567.9
NEM,demand,2025-10-01 15:45:00+10:00,19857.03
NEM,demand,2025-10-01 15:50:00+10:00,19893.0
NEM,demand,2025-10-01 15:55:00+10:00,20278.95
NEM,demand,2025-10-01 16:00:00+10:00,20389.12
NEM,demand,2025-10-01 16:05:00+10:00,20711.83
NEM,demand,2025-10-01 16:10:00+10:00,20937.46
NEM,demand,2025-10-01 16:15:00+10:00,21050.02
NEM,demand,2025-10-01 16:20:00+10:00,21361.4
NEM,demand,2025-10-01 16:25:00+10:00,21611.26
NEM,demand,2025-10-01 16:30:00+10:00,21804.2
NEM,demand,2025-10-01 16:35:00+10:00,22133.05
NEM,demand,2025-10-01 16:40:00+10:00,22376.02
NEM,demand,2025-10-01 16:45:00+10:00,22578.95
NEM,demand,2025-10-01 16:50:00+10:00,22971.37
NEM,demand,2025-10-01 16:55:00+10:00,23107.07
NEM,demand,2025-10-01 17:00:00+10:00,23366.44
NEM,demand,2025-10-01 17:05:00+10:00,23442.65
NEM,demand,2025-10-01 17:10:00+10:00,23571.62
NEM,demand,2025-10-01 17:15:00+10:00,23821.91
NEM,demand,2025-10-01 17:20:00+10:00,23940.13
NEM,demand,2025-10-01 17:25:00+10:00,24039.08
NEM,demand,2025-10-01 17:30:00+10:00,24241.88
